Ticker,Name,Sector,MarketCap_B,Price,RevGrowth_%,EPSGrowth_%,GrossMargin_%,OpMargin_%,NetMargin_%,FCFMargin_%,Rule40,ROIC_%,FCFYield_%,EV_FCF,BuybackYield_%,PEDiscount_%,PEG,ForwardPE,TrailingPE,ForwardEPS,TrailingEPS,PS_Ratio,EV_EBITDA,Debt/Equity_%,ROE_%,PctOffHigh_%,Beta,Cash_B,Debt_B,DivYield_%,CurrentRatio,ShortPct_%,ShortRatio,EPSAccel,RS_Rank,InsiderPct_%,InstPct_%,Chg1m_%,Chg6m_%,Chg1y_%,Consensus,Analysts,RecMean,TargetMean,TargetHigh,TargetLow,Upside_%,EarningsDate
PLTR,Palantir Technologies Inc.,Technology,462.8,192.59,92.8,215.4,84.8,47.1,49.0,35.1,139.9,1418.0,0.47,210.1,0.47,49.6,1.85,82.9,164.6,2.32,1.17,,170.4,2.1,38.1,7.2,1.62,9.41,0.21,0.0,7.23,2.8,2.1,True,-9.1,3.5,64.8,9.5,24.4,7.5,Buy,26,1.84,195.57,255.0,80.0,1.5,03.08.2026
AMP,"Ameriprise Financial, Inc.",Financial Services,42.9,485.15,11.6,11.7,54.9,30.7,19.9,14.6,42.3,1334.8,6.77,12.7,0.0,22.7,1.41,9.4,12.2,51.67,39.93,,,67.6,63.4,15.3,1.13,10.3,4.3,140.0,2.18,4.1,6.2,False,-16.7,0.2,91.6,-13.5,9.0,-0.1,Buy,11,2.5,579.45,645.0,489.0,19.4,29.10.2026
VEEV,Veeva Systems Inc.,Healthcare,44.5,274.84,17.6,39.5,75.0,29.6,29.3,36.4,47.2,485.4,2.83,29.7,2.83,39.7,1.21,26.8,44.5,10.25,6.18,,34.8,2.0,14.4,11.5,0.97,7.24,0.15,0.0,5.46,3.4,2.9,False,-18.4,8.6,93.4,10.6,53.4,-1.8,Buy,27,1.97,297.3,350.0,180.0,8.2,26.08.2026
NTAP,"NetApp, Inc.",Technology,38.7,197.24,29.9,63.5,70.6,26.7,19.2,15.8,56.6,341.2,3.02,32.2,0.0,36.0,2.18,17.7,27.7,11.12,7.12,,18.0,169.5,114.8,5.7,1.43,3.58,2.53,105.0,1.24,5.2,4.1,False,49.6,0.4,102.0,5.6,90.6,66.2,Buy,16,2.3,197.0,219.0,170.0,-0.1,01.12.2026
ANET,"Arista Networks, Inc.",Technology,259.4,205.7,37.7,35.7,63.0,45.4,38.4,36.9,83.1,259.9,1.5,63.2,1.5,39.3,1.52,39.7,65.3,5.19,3.15,,53.0,,31.5,4.3,1.62,13.34,0.0,0.0,2.96,1.3,2.6,True,27.2,17.2,73.3,9.3,57.3,43.8,Strong Buy,28,1.29,241.93,289.0,190.0,17.6,04.08.2026
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,118.3,157.41,8.1,130.0,87.2,34.4,25.5,27.4,42.5,206.9,6.53,15.8,0.0,26.6,0.58,12.7,17.3,12.37,9.08,,11.7,,0.0,30.0,1.07,17.21,20.92,107.0,1.09,2.6,3.2,False,-45.4,0.2,98.5,-26.0,-7.8,-28.8,Buy,37,1.51,238.78,301.0,188.0,51.7,04.08.2026
APP,Applovin Corporation,Communication Services,105.0,312.47,52.8,57.0,88.5,77.7,64.6,46.6,130.5,125.2,3.03,33.0,3.03,38.5,0.68,14.9,24.2,20.98,12.91,,19.4,111.1,203.7,58.1,2.49,3.05,3.52,0.0,4.3,3.8,2.4,False,-67.8,14.3,76.1,4.6,-28.3,-51.2,Buy,31,1.58,498.37,790.0,325.0,59.5,05.08.2026
INCY,Incyte Corporation,Healthcare,25.2,124.44,37.7,37.7,55.7,41.9,27.7,20.3,79.6,101.3,4.68,17.6,4.68,11.8,10.82,14.0,15.9,8.89,7.84,,10.7,0.6,30.7,6.2,0.77,4.54,0.04,0.0,4.59,8.4,7.6,True,35.8,1.8,103.5,-2.8,37.3,52.4,Buy,23,2.29,127.74,155.0,86.0,2.7,28.07.2026
MA,Mastercard Incorporated,Financial Services,495.9,566.08,14.1,22.1,100.0,61.1,46.3,48.3,75.2,91.1,3.42,30.0,0.0,20.1,1.46,24.6,30.8,23.02,18.4,,22.9,439.6,241.2,5.8,0.73,11.61,24.64,61.0,1.06,0.8,2.7,False,-16.2,0.1,91.2,-5.6,13.8,0.4,Strong Buy,37,1.43,666.71,740.0,550.0,17.8,30.07.2026
FICO,Fair Isaac Corporation,Technology,18.5,856.48,25.7,41.2,85.1,53.8,34.1,32.4,79.5,81.2,4.19,30.8,4.19,36.5,0.7,16.2,25.4,53.01,33.66,,18.9,,0.0,57.1,1.32,0.25,5.6,0.0,1.18,10.8,5.5,False,-61.3,3.0,102.4,-26.6,-13.9,-44.7,Buy,19,2.0,1434.89,1750.0,696.0,67.5,29.07.2026
